Description,observed_proximity,z_score,pvalue,p.adjust
Calcium signaling pathway,2.71100917431193,-0.872163649973024,0.191559553345044,0.302888170940158
Carbohydrate digestion and absorption,2.75510204081633,-0.0908779556933984,0.463794783253379,0.65380762396952
Cardiac muscle contraction,3,3.20297437959369,0.999319919594819,1
Cell adhesion molecules,2.2992125984252,-6.42439158790984,6.61989892501066e-11,8.47347062401365e-10
Cell cycle,2.31007751937985,-0.165646605383823,0.434217534058273,0.625899148192104
Cellular senescence,2.24683544303797,-1.48785252312296,0.0683948953285966,0.127246316890412
Central carbon metabolism in cancer,2.37333333333333,-1.06805985475507,0.142746756590527,0.240415590047203
Chagas disease,1.78504672897196,-8.51030447321043,8.67386054009474e-18,6.9390884320758e-16
Chemical carcinogenesis,2.02463054187192,-7.54681079439075,2.23022926868075e-14,5.94727804981532e-13
Chemokine signaling pathway,1.91978609625668,-8.26555822818093,6.9521277326146e-17,4.44936174887334e-15
Cholesterol metabolism,2.47272727272727,-2.14623098769572,0.0159272772273518,0.0377535460203895
Choline metabolism in cancer,2.2987012987013,-1.44846561019476,0.0737434385366191,0.13640404816022
Cholinergic synapse,2.24545454545455,-5.1771839589552,1.12630040080786e-07,1.00115591182921e-06
Chronic myeloid leukemia,2.02439024390244,-2.28524245585098,0.0111493075098192,0.0276571969235825
Circadian entrainment,2.35789473684211,-2.67415702171013,0.00374586822680675,0.010514717829633
Circadian rhythm,2.51428571428571,0.453601451526968,0.674942145711709,0.899922860948946
Citrate cycle (TCA cycle),2.86111111111111,2.7800732313222,0.997282667938315,1
Cocaine addiction,2.09433962264151,-3.60153531417604,0.000158171720304723,0.000683985817533937
Collecting duct acid secretion,3.83870967741936,15.1235897264728,1,1
Colorectal cancer,2.1304347826087,-4.59621511540313,2.15117263591476e-06,1.29882121413721e-05
Complement and coagulation cascades,2.70786516853933,-1.20683560057552,0.11374773138798,0.196752832671101
Coronavirus disease,2.44347826086957,-0.143753038961788,0.442847743539413,0.632639633627732
Cortisol synthesis and secretion,2.31884057971015,-4.13608987180245,1.76636939509532e-05,9.26620010541805e-05
Cushing syndrome,2.40506329113924,-1.73969541719304,0.0409562572393371,0.0845548536554055
Cysteine and methionine metabolism,3.05660377358491,3.38819320810567,0.999648226568427,1
Cytokine-cytokine receptor interaction,2.39298245614035,-3.81017313191967,6.94347537128911e-05,0.000317416016973217
Cytosolic DNA-sensing pathway,2.4375,-0.584476641965249,0.279449837935659,0.423810180755502
D-Glutamine and D-glutamate metabolism,3.3,2.4092940847014,0.992008293626221,1
DNA replication,3,6.87866737584215,0.999999999996979,1
Diabetic cardiomyopathy,2.52542372881356,2.0431056013916,0.979479007225152,1
Dilated cardiomyopathy,2.58585858585859,0.00233351416936254,0.500930936619205,0.696947390078894
Dopaminergic synapse,2.18181818181818,-3.4760033850689,0.000254472931010711,0.00101789172404284
Drug metabolism,2.18181818181818,-6.83526846385474,4.09257992787283e-12,6.89276619431213e-11
ECM-receptor interaction,2.50574712643678,-0.870020196978952,0.192144683440163,0.302888170940158
Endocrine and other factor-regulated calcium reabsorption,2.43636363636364,-2.0066503105694,0.0223934551603555,0.0504641243050264
Endocytosis,2.38864628820961,-3.533218866111,0.000205266227764072,0.000875802571793372
Endometrial cancer,2.171875,-1.98671406252122,0.0234770462789882,0.0521712139533072
Epithelial cell signaling in Helicobacter pylori infection,2.35526315789474,-0.130066909188952,0.448256745160902,0.637520704228838
Epstein-Barr virus infection,2.01970443349754,-3.96956024189772,3.60027004674498e-05,0.000177244063839753
ErbB signaling pathway,2.06741573033708,-3.44943276678896,0.000280882801065832,0.00109612800415934
Estrogen signaling pathway,2.18260869565217,-3.48648927550065,0.000244702503084963,0.00100390770496395
Ether lipid metabolism,3.27777777777778,1.83015760332652,0.966386812292901,1
Fanconi anemia pathway,2.92727272727273,3.26679120800129,0.999456130642136,1
Fat digestion and absorption,2.82051282051282,0.0683840937881503,0.527260058247127,0.727255252754658
Fatty acid biosynthesis,2.45833333333333,-2.14245648113163,0.0160783835207174,0.037831490636982
Fatty acid degradation,2.53061224489796,-1.19784736459761,0.115488222036206,0.198689414255838
Fatty acid elongation,2.72413793103448,-1.132354550751,0.128742702220699,0.219136514418212
Fc epsilon RI signaling pathway,1.76119402985075,-4.75926334307207,9.71503967662278e-07,6.09571116964566e-06
Fc gamma R-mediated phagocytosis,2.12087912087912,-4.17055405011456,1.51929986329879e-05,8.10293260426022e-05
Ferroptosis,2.72727272727273,-0.50521815684207,0.3067028094811,0.46077417386832
Fluid shear stress and atherosclerosis,2.1970802919708,-2.93893176628234,0.00164672785984222,0.00526952915149511
Focal adhesion,2.24120603015075,-2.30860179132974,0.0104828442291218,0.0262071105728046
Folate biosynthesis,2.5,-2.22635445263711,0.0129952243941108,0.0317440595886676
FoxO signaling pathway,2.2406015037594,-2.1596998254225,0.0153979573654421,0.0367712414697124
Fructose and mannose metabolism,3.11764705882353,1.42519019283606,0.922948884764948,1
GABAergic synapse,2.3625,-5.03354236016221,2.40749178721261e-07,1.79162179513496e-06
Galactose metabolism,3.11428571428571,2.64664847041101,0.99593530947489,1
Gap junction,2.3956043956044,-1.03375926952171,0.15062435861399,0.249739869204543
Gastric acid secretion,2.72602739726027,-1.3791437844444,0.0839252132210465,0.150033900730362
Gastric cancer,2.36184210526316,-3.16618718692295,0.000772256839161825,0.0026861107449107
Glioma,2.19736842105263,-1.51130815598818,0.0653549784656873,0.122301714087836
Glucagon signaling pathway,2.60952380952381,-0.971042712725714,0.165763504643215,0.272022161465788
Glutamatergic synapse,2.43137254901961,-2.73300604734307,0.00313795900073807,0.00904636829041604
Glutathione metabolism,2.84745762711864,-0.441985791997284,0.32924974365699,0.490046130094125
Glycerolipid metabolism,2.92,1.23278555701595,0.891172109368913,1
Glycerophospholipid metabolism,3.54666666666667,4.52650954611401,0.999997001705413,1
"Glycine, serine and threonine metabolism",2.88888888888889,1.70844516555443,0.956223113608745,1
Glycolysis / Gluconeogenesis,2.44444444444444,-1.12236058070273,0.130854578891771,0.221552726165961
Glycosaminoglycan biosynthesis,2.69642857142857,-0.226618475920367,0.41036021216366,0.594186732544666
Glycosaminoglycan degradation,3.16,0.653331360753181,0.743228660581853,0.966801509699971
Glycosphingolipid biosynthesis,3.62745098039216,5.58970233502169,0.999999988627041,1
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,4.2,7.69546168846861,0.999999999999993,1
Glyoxylate and dicarboxylate metabolism,3,3.42897707587258,0.99969706965072,1
GnRH secretion,2.55882352941176,-1.96091757686745,0.0249443192883202,0.0546724806319346
GnRH signaling pathway,2.22222222222222,-2.81488664941936,0.00243972205323945,0.0073651986512889
Graft-versus-host disease,1.56818181818182,-7.99722957935124,6.36249217029714e-16,2.26221943832787e-14
"Growth hormone synthesis, secretion and action",2.17741935483871,-2.02987927699227,0.0211844060087924,0.0491232603102432
HIF-1 signaling pathway,2.12389380530973,-4.78072908863776,8.73302996911778e-07,5.70320324513814e-06
Hedgehog signaling pathway,2.58181818181818,-0.329815344498989,0.37076974615775,0.544249168671926
Hematopoietic cell lineage,1.92857142857143,-7.64789355325861,1.02149108570843e-14,2.9716104311518e-13
Hepatitis B,2.06666666666667,-3.37712867129013,0.000366233885488237,0.00135912494790509
Hepatitis C,2.12162162162162,-2.78091167383839,0.00271032415843457,0.00788457936999146
Hepatocellular carcinoma,2.28823529411765,-2.93092376446115,0.0016897785329048,0.00535375376761917
Herpes simplex virus 1 infection,2.22043010752688,-3.92282506448172,4.37583485314662e-05,0.000208995097463719
Hippo signaling pathway,2.63803680981595,0.687907499912564,0.754244483326752,0.973218688163551
Histidine metabolism,2.66666666666667,-0.657724181344178,0.255357690561379,0.389116480855435
Homologous recombination,2.93023255813954,3.1106794671739,0.999066712842115,1
Human T-cell leukemia virus 1 infection,2.03603603603604,-6.21956354102361,2.49269851569021e-10,2.95430935192913e-09
Human cytomegalovirus infection,1.9954954954955,-3.47781082929608,0.000252763277785909,0.00101789172404284
Human immunodeficiency virus 1 infection,2.15609756097561,-4.90262759835666,4.72815754318902e-07,3.21917109323508e-06
Human papillomavirus infection,2.40184049079755,-1.3978512326877,0.0810788728804255,0.146583273004159
Huntington disease,2.74007220216607,3.7157934364815,0.999898716487744,1
Hypertrophic cardiomyopathy,2.67021276595745,1.67524298063488,0.953056716121601,1
IL-17 signaling pathway,1.92783505154639,-5.00006702604227,2.86551939650044e-07,2.08401410654577e-06
Inflammatory bowel disease,1.71014492753623,-6.55128897200242,2.85212771661767e-11,3.96817769268545e-10
Inflammatory mediator regulation of TRP channels,2.27472527472527,-3.98501417452122,3.37380488336551e-05,0.000168690244168275
Influenza A,2.19047619047619,-2.64969619506241,0.00402820899831655,0.01120892938662
Inositol phosphate metabolism,2.70886075949367,-0.266842393230578,0.394795256114386,0.576869780623761
Insulin resistance,2.28440366972477,-2.79822100485871,0.0025692470025972,0.00754274349386335
Insulin secretion,2.57142857142857,-1.5165473270894,0.064690506346864,0.121770364888215
Insulin signaling pathway,2.46043165467626,-0.455408505488629,0.324407688672596,0.48509560923005
Intestinal immune network for IgA production,2.04081632653061,-8.10360817318573,2.66763728516698e-16,1.06705491406679e-14
JAK-STAT signaling pathway,2.07228915662651,-4.9569581558063,3.58026952458082e-07,2.49062227796927e-06
Kaposi sarcoma-associated herpesvirus infection,1.9740932642487,-3.466845770845,0.00026330197506926,0.00104020533360695
Legionellosis,1.96774193548387,-3.70339381879391,0.000106367122535891,0.000472742766826183
Leishmaniasis,1.79220779220779,-7.35494420517015,9.55034419383372e-14,2.03740676135119e-12
Leukocyte transendothelial migration,2.16504854368932,-3.32907183897218,0.000435679628659275,0.00156648855248279
Linoleic acid metabolism,2.13636363636364,-2.56286082000579,0.00519068274882356,0.0140764277934198
Lipid and atherosclerosis,1.981220657277,-8.15439700321576,1.75463166962311e-16,8.02117334684851e-15
Long-term depression,2.14035087719298,-1.61483309433072,0.0531734221245233,0.104389540367162
Long-term potentiation,2.22857142857143,-4.56815166826825,2.46021973496694e-06,1.45790799109152e-05
Longevity regulating pathway,2.27102803738318,-2.71799413463864,0.00328395012090343,0.00938271463115264
Lysine degradation,2.74137931034483,-0.427178866086344,0.334624526623112,0.495740039441647
Lysosome,3.28813559322034,3.50223367096627,0.999769312605558,1
MAPK signaling pathway,2.23103448275862,-5.34206036683765,4.5948019655674e-08,4.32451949700461e-07
Malaria,1.92452830188679,-5.86192711520558,2.28762927930089e-09,2.36142377218156e-08
Mannose type O-glycan biosynthesis,3.375,4.83227084184904,0.999999325077775,1
Maturity onset diabetes of the young,2.79310344827586,-1.0629528579939,0.143901665217,0.241091795127958
Measles,2.06293706293706,-2.89834137142551,0.00187571011909456,0.00588458076578684
Melanogenesis,2.35576923076923,-1.35615601359829,0.0875247669769639,0.153889700179277
Melanoma,2.29487179487179,-1.69477569866691,0.0450589895777294,0.090394495427189
Metabolism of xenobiotics by cytochrome P450,1.87878787878788,-5.90116944577691,1.80466986806137e-09,1.92498119259879e-08
MicroRNAs in cancer,2.29012345679012,-2.18385701862221,0.0144863781053754,0.0351184923766676
Mineral absorption,3.09302325581395,-0.932736571709698,0.175477998683775,0.285949980026565
Mismatch repair,2.82758620689655,3.12776067233424,0.999119282267826,1
Mitophagy,2.35211267605634,-1.91723954911897,0.0276037528927821,0.0600898022155802
Morphine addiction,2.41860465116279,-2.644877578364,0.00408602384021429,0.0112717899040394
Mucin type O-glycan biosynthesis,3.07692307692308,1.81718036967675,0.965405250132381,1
N-Glycan biosynthesis,3.875,6.32161063546508,0.999999999870574,1
NF-kappa B signaling pathway,2,-6.26030062740478,1.92118012109375e-10,2.36452937980769e-09
NOD-like receptor signaling pathway,2.39887640449438,-2.50793463914031,0.00607195639268744,0.015926442997213
Natural killer cell mediated cytotoxicity,1.87301587301587,-7.29082529964925,1.54031011051279e-13,3.08062022102558e-12
Necroptosis,2.38931297709924,-1.40642030938178,0.0797996765014128,0.145919408459726
"Neomycin, kanamycin and gentamicin biosynthesis",3,2.43352913624216,0.992523784013787,1
Neuroactive ligand-receptor interaction,2.96958174904943,-2.4648775963272,0.00685300321672722,0.0175436882348217
Neurotrophin signaling pathway,2.10743801652893,-2.48826146743909,0.00641846587213471,0.0165637828958315
Neutrophil extracellular trap formation,2.17272727272727,-4.82460705859225,7.01397758899135e-07,4.67598505932757e-06
Nicotinate and nicotinamide metabolism,2.7,0.52328666750753,0.699612611204434,0.925107585063715
Nicotine addiction,2.63636363636364,-0.873763066581004,0.19112364885897,0.302888170940158
Nitrogen metabolism,3.07142857142857,-0.108678533400332,0.456728734427022,0.646695553171004
Non-alcoholic fatty liver disease,2.4025974025974,0.642107882031198,0.739598430735633,0.966006113613888
Non-homologous end-joining,3,2.3230995337803,0.98991309698652,1
Non-small cell lung cancer,2.14102564102564,-2.110593761962,0.0174036221565812,0.0406507962781459
Notch signaling pathway,2.35483870967742,-3.50237208493149,0.000230567572961337,0.000958202900618542
Nucleotide excision repair,2.86274509803922,5.0495376927358,0.999999778559726,1
Olfactory transduction,2.78048780487805,0.581910060709942,0.719686368262867,0.943850974770973
One carbon pool by folate,2.96,2.39836901102467,0.991765867279559,1
Oocyte meiosis,2.25,-2.52660563119207,0.00575853741420488,0.0152291898557484
Osteoclast differentiation,1.99206349206349,-6.07875616561162,6.05591855734429e-10,6.90095702055388e-09
Other glycan degradation,3.41176470588235,1.8587190775029,0.968466516053453,1
Other types of O-glycan biosynthesis,3.20833333333333,3.05067071410064,0.998858345818106,1
Ovarian steroidogenesis,1.90196078431373,-3.95241144045176,3.8683782882725e-05,0.00018755773518897
Oxidative phosphorylation,3.31481481481482,12.8310063335344,1,1
Oxytocin signaling pathway,2.51048951048951,-1.00679453695903,0.15701676023566,0.258996717914491
PD-L1 expression and PD-1 checkpoint pathway in cancer,1.85106382978723,-6.91530362297675,2.33431179334844e-12,4.14988763261944e-11
PI3K-Akt signaling pathway,2.22,-2.80729485833988,0.00249797445073504,0.00740140577995568
PPAR signaling pathway,2.32894736842105,-1.57706206883806,0.0573906219721143,0.109970054078303
Pancreatic cancer,2.09756097560976,-2.49791426462606,0.00624632017796931,0.0162505890808958
Pancreatic secretion,2.86516853932584,-0.00526675458871969,0.497898878627797,0.695753891532292
Pantothenate and CoA biosynthesis,3.18518518518519,2.83425502848563,0.997703367029665,1
"Parathyroid hormone synthesis, secretion and action",2.2962962962963,-2.8468928270725,0.00220741112807943,0.00672734819986112
Parkinson disease,2.64090909090909,0.827632610497175,0.796060702904013,1
Pathogenic Escherichia coli infection,2.32786885245902,-2.39389383075304,0.0083352867544578,0.0211689822335436
Pathways in cancer,2.22562141491396,-3.37995388036874,0.000362489969927503,0.00135912494790509
Pathways of neurodegeneration,2.64285714285714,1.24364779522126,0.89318539133413,1
Pentose and glucuronate interconversions,2.55172413793103,-3.41824797478154,0.000315128283165478,0.00121495241702353
Pentose phosphate pathway,2.72222222222222,0.221266881633903,0.587557682244138,0.796688382703916
Peroxisome,2.90697674418605,2.00428019144692,0.97747997272359,1
Pertussis,2.07594936708861,-4.06938000285448,2.35692050767049e-05,0.000121647510073316
Phagosome,2.68243243243243,0.206279091747208,0.581713545153568,0.792983255817073
Phenylalanine metabolism,2.31818181818182,-2.85773803324704,0.00213336241108808,0.00656419203411717
"Phenylalanine, tyrosine and tryptophan biosynthesis",2.75,0.766130877682874,0.778200784021081,1
Phosphatidylinositol signaling system,2.74157303370787,-0.517481147303426,0.302410163047975,0.456468170638454
Phospholipase D signaling pathway,2.10606060606061,-7.44069480062268,5.00785511483783e-14,1.14465259767722e-12
Phosphonate and phosphinate metabolism,3.63636363636364,1.90088410455259,0.971341402720683,1
Phototransduction,2.63333333333333,-1.34829457082512,0.0887818288213155,0.155246913785907
Platelet activation,2.09917355371901,-4.5331971345539,2.90487733015449e-06,1.69011044663534e-05
Porphyrin and chlorophyll metabolism,2.72972972972973,-0.930570243454165,0.176037956453854,0.285949980026565
Primary bile acid biosynthesis,2.30434782608696,-2.61535227317624,0.00445677351471728,0.0121894660231584
Primary immunodeficiency,2.07317073170732,-3.51081501225715,0.000223367578713984,0.000940495068269407
Prion disease,2.582995951417,1.00909178913331,0.843534692283609,1
Progesterone-mediated oocyte maturation,2.06666666666667,-5.15285261865063,1.28276795886741e-07,1.08022564957255e-06
Prolactin signaling pathway,2.01333333333333,-4.17664886844298,1.47917578020456e-05,8.02264829941457e-05
Propanoate metabolism,2.69230769230769,0.990885732424123,0.839129310040413,1
Prostate cancer,2.06862745098039,-3.14230612853807,0.000838113396876002,0.0028838310430142
Proteasome,2.03921568627451,-0.334600885601801,0.368963088385473,0.544093033563831
Protein digestion and absorption,3.19587628865979,0.562332914232731,0.71305539151193,0.939002984707068
Protein export,3.15384615384615,2.75238953141065,0.997041894859639,1
Protein processing in endoplasmic reticulum,2.7625,-0.151787265494074,0.439677363207263,0.63092715796558
Proteoglycans in cancer,2.21463414634146,-2.3149894652394,0.010306754304501,0.0259697746255144
Proximal tubule bicarbonate reclamation,2.96296296296296,0.683354368945944,0.752808526736147,0.973218688163551
Purine metabolism,3.01612903225806,2.35447038337384,0.990725439108081,1
Pyrimidine metabolism,2.74193548387097,0.367339441173382,0.643317081225809,0.864964142824618
Pyruvate metabolism,2.65384615384615,0.0663039510893553,0.526432081182584,0.727255252754658
RIG-I-like receptor signaling pathway,2.08219178082192,-3.81918698628034,6.69461210859541e-05,0.000310474764456599
RNA degradation,2.43421052631579,-2.55387042817248,0.00532664462450845,0.014323750250779
RNA polymerase,3.14285714285714,4.08160637093988,0.999977637250213,1
RNA transport,2.90625,5.21549402444876,0.999999908336015,1
Rap1 signaling pathway,2.23076923076923,-2.81008438739251,0.00247642558752806,0.00740140577995568
Ras signaling pathway,2.27906976744186,-3.23514278462083,0.000607909567833214,0.00216145624118476
Regulation of actin cytoskeleton,2.35779816513761,-3.06499350671252,0.0010883736148487,0.00366610059738509
Regulation of lipolysis in adipocytes,2.23333333333333,-5.30177744726325,5.73402968932108e-08,5.24254143023642e-07
Relaxin signaling pathway,2.06015037593985,-6.77587850984331,6.18262780077239e-12,9.89220448123582e-11
Renal cell carcinoma,2.01408450704225,-4.27250923971479,9.66427709217156e-06,5.332014947405e-05
Renin secretion,2.56716417910448,-1.72917574352646,0.0418888231224067,0.0853784929883448
Renin-angiotensin system,2.66666666666667,-1.05526663209673,0.145651698703364,0.242752831172273
Retinol metabolism,1.64406779661017,-6.58509492039433,2.27297435379047e-11,3.30614451460432e-10
Retrograde endocannabinoid signaling,2.47407407407407,-0.71354147009547,0.237755380514772,0.367544549588053
Rheumatoid arthritis,2.27368421052632,-1.88044128599223,0.0300239806311796,0.0644810322280368
Riboflavin metabolism,3.21428571428571,1.42732891699276,0.923257445361327,1
Ribosome,3.06716417910448,6.21827421764653,0.999999999748674,1
Ribosome biogenesis in eukaryotes,3.01315789473684,7.47475009551584,0.999999999999961,1
SNARE interactions in vesicular transport,2.86842105263158,2.98756454109267,0.998593950440522,1
Salivary secretion,2.76623376623377,-0.684254968176489,0.246907088708633,0.379857059551742
Salmonella infection,2.42168674698795,-2.01581650640904,0.0219095834328063,0.0500790478464144
Selenocompound metabolism,2.9,0.207901544714216,0.582347078490663,0.792983255817073
Serotonergic synapse,2.11881188118812,-8.19511338974321,1.2517852193123e-16,6.67618783633227e-15
Shigellosis,2.26244343891403,-2.28121074596787,0.0112679895894486,0.0277365897586426
Signaling pathways regulating pluripotency of stem cells,2.37857142857143,-1.99707075781702,0.0229087485109475,0.0512643323321902
Small cell lung cancer,2.16494845360825,-1.58537253049224,0.0564408592853804,0.108801656453745
Sphingolipid metabolism,2.98039215686275,2.46466154436044,0.993142863649406,1
Sphingolipid signaling pathway,2.192,-2.94214981897427,0.00162971096965372,0.00526775262918375
Spinocerebellar ataxia,2.48591549295775,-1.39878964201631,0.0809380366516386,0.146583273004159
Spliceosome,2.93233082706767,6.46086591349444,0.999999999947947,1
Staphylococcus aureus infection,2.54794520547945,-2.54163994748205,0.0055166883108645,0.014711168828972
Starch and sucrose metabolism,3.5,4.71576379613526,0.999998795971649,1
Steroid biosynthesis,2.34615384615385,-1.83037460859803,0.0335969709335962,0.0716647377207784
Steroid hormone biosynthesis,1.46428571428571,-6.96343438568525,1.66037931937885e-12,3.12541989530137e-11
Sulfur metabolism,3.57142857142857,1.15046261508648,0.875023308246747,1
Sulfur relay system,4.14285714285714,3.3739746766619,0.99962954408353,1
Synaptic vesicle cycle,3.13924050632911,3.26051449793782,0.999443948591798,1
Synthesis and degradation of ketone bodies,2.875,1.09012417794927,0.862170776405525,1
Systemic lupus erythematosus,2.28070175438597,-1.82744028981035,0.0338167981119923,0.0716647377207784
T cell receptor signaling pathway,1.69158878504673,-6.07359256283159,6.25399229987695e-10,6.90095702055388e-09
TGF-beta signaling pathway,2.50526315789474,-0.897577649220656,0.184705379637468,0.297013675798944
TNF signaling pathway,1.87931034482759,-3.62032868425753,0.000147114505880794,0.00064488550523088
Taste transduction,2.79245283018868,-1.1819183706651,0.118619045977303,0.202984463704476
Taurine and hypotaurine metabolism,3.17647058823529,1.27103420501203,0.898141759863197,1
Terpenoid backbone biosynthesis,2.92592592592593,1.57069841095565,0.941873640758442,1
Th1 and Th2 cell differentiation,1.79166666666667,-5.75679511324168,4.28629261054905e-09,4.28629261054904e-08
Th17 cell differentiation,1.72727272727273,-5.63619423746022,8.69246425982584e-09,8.42905625195233e-08
Thermogenesis,2.665,1.61205539681745,0.94652505724309,1
Thiamine metabolism,3.15,0.397119413257193,0.654360297595033,0.876130942386656
Thyroid cancer,2.2093023255814,-1.73497002807085,0.0413730570517989,0.0848678093370233
Thyroid hormone signaling pathway,2.20967741935484,-2.69772821671532,0.00349072064307453,0.00988522659985708
Thyroid hormone synthesis,2.57142857142857,-1.59524859227556,0.0553283282100589,0.107303424407387
Tight junction,2.55128205128205,-0.778195670228276,0.21822683447494,0.340438800449312
Toll-like receptor signaling pathway,1.91588785046729,-6.62394404519359,1.748695994142e-11,2.66467961012115e-10
Toxoplasmosis,1.98260869565217,-3.03895550178527,0.00118699958500994,0.00395666528336646
Transcriptional misregulation in cancer,2.39644970414201,-3.13077777824826,0.000871720156210019,0.0029675579785873
Tryptophan metabolism,2.1304347826087,-2.95504693780847,0.0015631074241113,0.00510402424199609
Tuberculosis,2.21714285714286,-5.04302631642936,2.29113100899915e-07,1.74562362590411e-06
Type I diabetes mellitus,1.73913043478261,-4.02882182555719,2.80285413562319e-05,0.000142367194190384
Type II diabetes mellitus,2.21153846153846,-1.67244773525629,0.0472180329147556,0.0932701884735914
Tyrosine metabolism,2.21428571428571,-6.50093784696748,3.99104038780666e-11,5.32138718374221e-10
Ubiquinone and other terpenoid-quinone biosynthesis,3.11764705882353,2.08012573584461,0.98124299919223,1
Ubiquitin mediated proteolysis,2.24626865671642,-3.84290719751008,6.07927263299735e-05,0.000286083418023405
VEGF signaling pathway,1.96610169491525,-3.36716964584446,0.000379719774118134,0.0013807991786114
"Valine, leucine and isoleucine degradation",2.52830188679245,-0.775041807910244,0.219157477789244,0.340438800449312
Various types of N-glycan biosynthesis,3.95454545454545,4.62459343777785,0.999998123330684,1
Vascular smooth muscle contraction,2.625,-0.893270394017147,0.185856194286256,0.29736991085801
Vasopressin-regulated water reabsorption,2.44,-1.54141197928275,0.0616082751748576,0.116654722224582
Vibrio cholerae infection,3,5.43686265838583,0.999999972886548,1
Viral carcinogenesis,2.15384615384615,-5.08382933858129,1.8495016290342e-07,1.44351346656328e-06
Viral myocarditis,2.14285714285714,-1.56901346367757,0.0583224009356155,0.111090287496411
Viral protein interaction with cytokine and cytokine receptor,1.94949494949495,-10.2188094864742,8.16672378106153e-25,8.7111720331323e-23
Vitamin B6 metabolism,2.33333333333333,-3.02097570816462,0.00125980786610361,0.00415606718714594
